UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 Jul07 ?        00:00:30 /sbin/init
root           2       0  0 Jul07 ?        00:00:00 [kthreadd]
root           3       2  0 Jul07 ?        00:00:00 [rcu_gp]
root           4       2  0 Jul07 ?        00:00:00 [rcu_par_gp]
root           5       2  0 Jul07 ?        00:00:00 [netns]
root           7       2  0 Jul07 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 Jul07 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 Jul07 ?        00:00:00 [rcu_tasks_rude_]
root          12       2  0 Jul07 ?        00:00:00 [rcu_tasks_trace]
root          13       2  0 Jul07 ?        00:00:03 [ksoftirqd/0]
root          14       2  0 Jul07 ?        00:00:14 [rcu_sched]
root          15       2  0 Jul07 ?        00:00:12 [migration/0]
root          16       2  0 Jul07 ?        00:00:00 [idle_inject/0]
root          17       2  0 Jul07 ?        00:00:00 [cpuhp/0]
root          18       2  0 Jul07 ?        00:00:00 [cpuhp/1]
root          19       2  0 Jul07 ?        00:00:00 [idle_inject/1]
root          20       2  0 Jul07 ?        00:00:11 [migration/1]
root          21       2  0 Jul07 ?        00:00:04 [ksoftirqd/1]
root          23       2  0 Jul07 ?        00:00:00 [kworker/1:0H-kblockd]
root          24       2  0 Jul07 ?        00:00:00 [kdevtmpfs]
root          25       2  0 Jul07 ?        00:00:00 [inet_frag_wq]
root          26       2  0 Jul07 ?        00:00:00 [kauditd]
root          27       2  0 Jul07 ?        00:00:01 [khungtaskd]
root          28       2  0 Jul07 ?        00:00:00 [oom_reaper]
root          29       2  0 Jul07 ?        00:00:00 [writeback]
root          30       2  0 Jul07 ?        00:01:35 [kcompactd0]
root          31       2  0 Jul07 ?        00:00:00 [ksmd]
root          32       2  0 Jul07 ?        00:00:02 [khugepaged]
root          79       2  0 Jul07 ?        00:00:00 [kintegrityd]
root          80       2  0 Jul07 ?        00:00:00 [kblockd]
root          81       2  0 Jul07 ?        00:00:00 [blkcg_punt_bio]
root          82       2  0 Jul07 ?        00:00:00 [tpm_dev_wq]
root          83       2  0 Jul07 ?        00:00:00 [ata_sff]
root          84       2  0 Jul07 ?        00:00:00 [md]
root          85       2  0 Jul07 ?        00:00:00 [edac-poller]
root          86       2  0 Jul07 ?        00:00:00 [devfreq_wq]
root          87       2  0 Jul07 ?        00:00:00 [watchdogd]
root          89       2  0 Jul07 ?        00:00:29 [kworker/0:1H-kblockd]
root          91       2  0 Jul07 ?        00:00:06 [kswapd0]
root          92       2  0 Jul07 ?        00:00:00 [ecryptfs-kthrea]
root          94       2  0 Jul07 ?        00:00:00 [kthrotld]
root          95       2  0 Jul07 ?        00:00:00 [acpi_thermal_pm]
root          97       2  0 Jul07 ?        00:00:00 [scsi_eh_0]
root          98       2  0 Jul07 ?        00:00:00 [scsi_tmf_0]
root          99       2  0 Jul07 ?        00:00:00 [scsi_eh_1]
root         100       2  0 Jul07 ?        00:00:00 [scsi_tmf_1]
root         102       2  0 Jul07 ?        00:00:00 [vfio-irqfd-clea]
root         103       2  0 Jul07 ?        00:00:00 [mld]
root         104       2  0 Jul07 ?        00:00:00 [ipv6_addrconf]
root         114       2  0 Jul07 ?        00:00:00 [kstrp]
root         117       2  0 Jul07 ?        00:00:00 [zswap-shrink]
root         118       2  0 Jul07 ?        00:00:00 [kworker/u5:0]
root         123       2  0 Jul07 ?        00:00:00 [charger_manager]
root         124       2  0 Jul07 ?        00:00:35 [kworker/1:1H-kblockd]
root         165       2  0 Jul07 ?        00:00:00 [cryptd]
root         235       2  0 Jul07 ?        00:00:00 [raid5wq]
root         282       2  0 Jul07 ?        00:00:07 [jbd2/sda1-8]
root         283       2  0 Jul07 ?        00:00:00 [ext4-rsv-conver]
root         357       1  0 Jul07 ?        00:00:10 /lib/systemd/systemd-journald
root         375       2  0 Jul07 ?        00:00:00 [ipmi-msghandler]
root         381       2  0 Jul07 ?        00:00:00 [kaluad]
root         385       2  0 Jul07 ?        00:00:00 [kmpath_rdacd]
root         387       2  0 Jul07 ?        00:00:00 [kmpathd]
root         388       2  0 Jul07 ?        00:00:00 [kmpath_handlerd]
root         389       1  0 Jul07 ?        00:04:08 /sbin/multipathd -d -s
root         400       1  0 Jul07 ?        00:00:04 /lib/systemd/systemd-udevd
systemd+     551       1  0 Jul07 ?        00:00:08 /lib/systemd/systemd-networkd
root         588       1  0 Jul07 ?        00:00:03 /usr/sbin/cron -f -P
message+     589       1  0 Jul07 ?        00:00:02 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         598       1  0 Jul07 ?        00:01:02 /usr/sbin/irqbalance --foreground
